Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ARL;9075760;USD;2019;FY;2019-12-31;2020-03-30;2022-03-29;15997076;15997076;48018756;-25694000;22255975;-33750213;-19946968;;-13379000;-11381564;-17421000;-13921252;-21693474;-39103000;-21743000;;-21743000;;-15958000;-15957000
ARL;9075760;USD;2020;FY;2020-12-31;2021-03-26;2023-03-23;16045796;16045796;59026000;-24360000;34666000;-34712210;-19992672;;-14755000;-111844;-48761000;-11918278;11116411;39970000;11120000;147000;11267000;;9030000;9030000
ARLO;1251690;USD;2018;FY;2018-12-31;2019-02-22;2021-02-26;67231000;67231000;464918000;-372843000;92075000;-139596000;-80802000;-58794000;;-47521000;62000;1239000;-74678428;-27252000;-74711000;-772000;-75483000;;-75483000;-75483000
ARLO;1251690;USD;2019;FY;2019-12-31;2020-02-28;2022-03-02;74409000;74409000;370007000;-334203000;35804000;-173993000;-104609000;-69384000;;-138189000;3650000;2737000;-81555711;52968000;-81571000;-4380000;-85951000;;-85951000;-85951000
ARLO;1251690;USD;2020;FY;2020-12-31;2021-02-26;2023-03-07;83809000;83809000;357154000;-301765000;55389000;-160253000;-100160000;-60137000;;-104864000;4238000;802000;-100626000;;-100626000;-625000;-101251000;;-101251000;-101251000
ARLO;1251690;USD;2021;FY;2021-12-31;2022-03-02;2024-02-29;83809000;83809000;435137000;-327102000;108035000;-157461000;-98398000;-59063000;;-49426000;3190000;11000;-55446331;-9116000;-55352000;-677000;-56029000;;-56029000;-56029000
ARLO;1251690;USD;2022;FY;2022-12-31;2023-03-07;2024-02-29;87173000;87173000;490414000;-354379000;136035000;-191286639;-126013000;-64709000;;-55137348;-964000;926000;-55651000;;-55651000;-975000;-56626000;;-56626000;-56626000
ARLP;786231;USD;2018;FY;2018-12-31;2019-02-22;2021-02-23;127195219;127195219;2002857000;-1601361006;401725399;-68340129;-68298000;;-280225000;332770000;-4795000;-40059000;367749582;39517000;367492000;-22000;367470000;;366604000;366604000
ARLP;786231;USD;2019;FY;2019-12-31;2020-02-20;2022-02-25;127195219;127195219;1961720000;-1616096470;348192608;-72864240;-72997000;;-309075000;274688000;-29826000;-45496000;406671654;161853000;406715000;211000;406926000;;399414000;399414000
ARLP;786231;USD;2020;FY;2020-12-31;2021-02-23;2023-02-24;127195219;127195219;1328129000;-1194506394;133746322;-59678353;-59806000;;-313387000;74151000;-46164000;-45478000;-129193998;-157003000;-129016000;-35000;-129051000;;-129220000;-129220000
ARLP;786231;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;127195219;127195219;1571545261;-1282219561;289214928;-70166518;-70242225;;;219489599;;-39074535;179361855;;;-417542;182771000;;182771000;182771000
ARLP;786231;USD;2022;FY;2022-12-31;2023-02-24;2024-02-23;127195219;127195219;2404570202;-1675538430;730481054;-80210447;-80521863;;;651290168;;-35301445;634179938;;;-53857705;586200000;;586200000;586200000
ARMK;361112;USD;2018;FY;2018-09-30;2018-11-21;2020-11-24;340392835;350892520;15789633000;-14004501545;1791722000;-973311000;-377129000;;-596182000;818411000;-346535000;-353384379;471876000;;471876000;96564000;568440000;;567885000;567885000
ARMK;361112;USD;2019;FY;2019-09-30;2019-11-26;2021-11-23;341892790;349033850;16227341000;-14532662000;1694679000;-959829000;-367256000;;-592573000;734850000;-334987000;-334987000;554790730;156309000;556172000;-107706000;448466000;;448549000;448549000
ARMK;361112;USD;2020;FY;2020-09-30;2020-11-24;2022-11-22;348781780;348781780;12829559000;-11993667000;835892000;-902211000;-307016000;;-595195000;-66319000;-382800000;-382800000;-646125432;-198600000;-647719000;186284000;-461435000;;-461529000;-461529000
ARMK;361112;USD;2021;FY;2021-09-30;2021-11-23;2023-11-21;354018465;356296790;12095965000;-11007080000;1088885000;-897441000;-346749000;;-550692000;191444000;-401366000;-401366000;-133086477;77070000;-132852000;40633000;-92219000;;-90833000;-90833000
ARMK;361112;USD;2022;FY;2022-09-30;2022-11-22;2023-11-21;356379890;358817490;16326624000;-14767570000;1559054000;-930689000;-398362000;;-532327000;628365000;-372727000;-372727000;255638000;;255638000;-61461000;194177000;;194484000;194484000
ARMP;15337145;USD;2018;FY;2018-12-31;2019-03-25;2020-03-19;16415012;56544698;;;;-10583244;-5689330;-8372000000;;-10592046;-768000000;-768000000;-12408255;-5043000000;-16702000000;327307;-12085572;;-12097356;-12099054
ARMP;15337145;USD;2019;FY;2019-12-31;2020-03-19;2021-03-18;16415012;56544698;;;;-19089000;-9265000;-9824000;;-19089000;-844000;-835000;-19455709;454000;-19479000;;-19479000;;-19479000;-19479000
ARMP;15337145;USD;2020;FY;2020-12-31;2021-03-18;2022-03-17;16415012;16415012;0;;;-21611597;-7966000;-14444000;;-21587000;-594000;-600000;-22181000;;-22181000;;-22181000;;-22181000;-22181000
ARMP;15337145;USD;2021;FY;2021-12-31;2022-03-17;2023-03-16;24104146;24104146;0;;;-23779781;-8281000;-20015000;;-23822000;-59000;-59000;-23146479;726000;-23155000;;-23155000;;-23155000;-23155000
ARMP;15337145;USD;2022;FY;2022-12-31;2023-03-16;2024-03-21;34294124;34294124;0;;;-36996332;-7437000;-35017000;;-36946000;29000;29000;-36917000;;-36917000;;-36917000;;-36917000;-36917000
ARNA;826177;USD;2018;FY;2018-12-31;2019-02-28;2021-02-23;47041000;47041000;17970000;;;-160286000;-45257000;-115029000;;-142316000;5949000;3077000;-136367000;-2467000;-138834000;110265000;-28569000;-830000;-29399000;-29399000
ARNA;826177;USD;2019;FY;2019-12-31;2020-02-27;2022-02-23;49779000;51698000;806431000;;;-309112000;-77616000;-231496000;;497319000;25142000;22081000;522461000;-14573000;507888000;-110333000;397555000;;397555000;397555000
ARNA;826177;USD;2020;FY;2020-12-31;2021-02-23;2022-02-23;54767000;54767000;319000;;;-426958000;-103218000;-323740000;;-426639000;8950000;6529000;-417689000;12955000;-404734000;;-404734000;;-404734000;-404734000
ARNA;826177;USD;2021;FY;2021-12-31;2022-02-23;2022-02-23;61140000;61140000;54000;;;-545715000;-126206000;-419509000;;-545661000;-6003000;-2731000;-551664000;-64769000;-616433000;;-616433000;;-616433000;-616433000
ARNC;1195675;USD;2018;FY;2018-12-31;2019-02-23;2021-02-23;109000000;109000000;7442000000;-6527000000;915000000;-627000000;-288000000;-63000000;-272000000;288000000;-129000000;-129000000;159000000;104000000;263000000;-76000000;187000000;;187000000;187000000
ARNC;1195675;USD;2019;FY;2019-12-31;2020-03-30;2022-02-22;109000000;109000000;7277000000;-6332000000;945000000;-628000000;-346000000;-45000000;-252000000;317000000;-115000000;-115000000;202000000;-87000000;115000000;62000000;177000000;;177000000;177000000
ARNC;1195675;USD;2020;FY;2020-12-31;2021-02-23;2023-02-21;109000000;109000000;5675000000;-4862000000;813000000;-615000000;-258000000;-36000000;-251000000;198000000;-118000000;-118000000;80000000;-188000000;-108000000;-1000000;-109000000;;-109000000;-109000000
ARNC;1195675;USD;2021;FY;2021-12-31;2022-02-22;2023-02-21;108700000;112100000;7504000000;-6573000000;931000000;-601000000;-247000000;-34000000;-253000000;330000000;-100000000;-100000000;230000000;-689000000;-459000000;62000000;-397000000;;-397000000;-397000000
ARNC;1195675;USD;2022;FY;2022-12-31;2023-02-21;2023-02-21;105700000;108000000;8961000000;-8032000000;929000000;-561000000;-246000000;-37000000;-237000000;368000000;-104000000;-104000000;264000000;-456000000;-192000000;11000000;-181000000;;-182000000;-182000000
AROC;998457;USD;2018;FY;2018-12-31;2019-02-20;2021-02-23;109305000;109421000;904441000;-640905510;265451019;-101604673;-101563000;;-174946000;163565000;-93171000;-93328000;35302759;-35084000;35310000;-6150000;29160000;;21063000;21063000
AROC;998457;USD;2019;FY;2019-12-31;2020-02-21;2022-02-23;137492000;137528000;965485000;-644507663;321683993;-117929978;-117727000;;-188084000;203436000;-104020000;-104681000;58593273;-40958000;58458000;39145000;97603000;-273000;97330000;97330000
AROC;998457;USD;2020;FY;2020-12-31;2021-02-23;2023-02-22;150828000;150828000;874970000;-571217025;305086660;-104842929;-105100000;;-193138000;199539000;-104357000;-105716000;-86051495;-181164000;-85982000;17537000;-68445000;;-68445000;-69635413
AROC;998457;USD;2021;FY;2021-12-31;2022-02-23;2024-02-21;152158000;152297000;781461000;-538124577;243453552;-107266693;-107167000;;-178946000;136431000;-103428000;-108135000;38944481;5958000;38961000;-10744000;28217000;;28217000;28217000
AROC;998457;USD;2022;FY;2022-12-31;2023-02-22;2024-02-21;153281000;153410000;845568000;-582485313;261365372;-117391578;-117184000;;-164259000;144641000;-103104000;-101259000;60444926;19052000;60589000;-16293000;44296000;;44296000;44296000
ARPO;1841892;USD;2018;FY;2018-12-31;2019-03-07;2020-03-16;22511237;;20163824;;;-31338674;-13485918;-17852756;;-11174850;778215;778215;-10396635;;-10396635;;-10396635;;-10396635;-10396635
ARPO;1841892;USD;2019;FY;2019-12-31;2020-03-16;2021-03-11;22511237;;142729;;;-22580587;-9756185;-12824402;;-22437858;1030839;1030839;-21407019;-1863495;-23270514;;-23270514;;-23270514;-23270514
ARPO;1841892;USD;2020;FY;2020-12-31;2021-03-11;2022-03-17;22511237;;14580000;;;-17129000;-2121000;-15008000;;-2549000;-774000;-774000;-3323000;-153000;-3476000;2000;-3474000;;-3474000;-4461000
ARPO;1841892;USD;2021;FY;2021-12-31;2022-03-17;2023-03-29;22511237;;1120000;;;-38181000;-18511000;-19670000;;-37061000;-652000;-652000;-37713000;-72375000;-110088000;2000;-110086000;;-110086000;-110733000
ARPO;1841892;USD;2022;FY;2022-12-31;2023-03-29;2024-03-13;22511237;22511237;15216000;-1335000;13881000;-72838000;-40176000;-32662000;;-58957000;2168000;2168000;-56789000;-3724000;-60513000;;-60513000;;-60513000;-60513000
ARQL;795983;USD;2018;FY;2018-12-31;2019-03-07;2019-03-07;99035000;99035000;25764000;;;-39463000;-10753000;-28710000;;-13699000;-1783000;-231000;-15482000;;-15482000;0;-15482000;;-15482000;-15482000
ARQT;11795192;USD;2018;FY;2018-12-31;2019-03-20;2021-02-16;35064406;35064406;;;;-19735000;-1795000;-17940000;;-19735000;480000;;-19255000;;-19255000;;-19255000;;-19255000;-19255000
ARQT;11795192;USD;2019;FY;2019-12-31;2020-03-19;2022-02-22;35064406;35064406;;;;-43132000;-6610000;-36522000;;-43132000;1136000;;-41996000;;-41996000;;-41996000;;-41996000;-41996000
ARQT;11795192;USD;2020;FY;2020-12-31;2021-02-16;2023-02-28;35668152;35668152;;;;-136645000;-21337000;-115308000;;-136645000;967000;;-135678000;;-135678000;;-135678000;;-135678000;-135678000
ARQT;11795192;USD;2021;FY;2021-12-31;2022-02-22;2024-02-27;49405575;49405575;;;;-206529000;-60971000;-145558000;;-206529000;173000;;-206356000;;-206356000;;-206356000;;-206356000;-206356000
ARQT;11795192;USD;2022;FY;2022-12-31;2023-02-28;2024-02-27;55032265;55032265;3686000;-754000;2932000;-304559000;-122124000;-182435000;;-301627000;-9831000;-15652000;-311458000;;-311458000;;-311458000;;-311458000;-311458000
ARRW;12444407;USD;2020;FY;2020-12-31;2021-03-31;2022-03-31;35937500;35937500;;;;-1724;-1724;;;-1724;;;-1724;;-1724;;-1724;;-1724;-1724
ARRW;12444407;USD;2021;FY;2021-12-31;2022-03-31;2023-03-31;23866438;31053938;;;;-3858771;-3858771;;;-3858771;23634;23634;-3835137;8680000;4844863;;4844863;;4844863;4844863
ARRW;12444407;USD;2022;FY;2022-12-31;2023-03-31;2024-04-01;28750000;28750000;;;;-1555038;-1555038;;;-1555038;3945497;;2390459;11881250;14271709;-750410;13521299;;13521299;13521299
ARRY;6744551;USD;2021;FY;2021-12-31;2022-04-06;2024-02-28;129984000;129984000;853318000;-770555629;82915502;-105082427;-80974000;;-9372000;-22045000;-36380000;-35475000;-60968906;-2696000;-61121000;10718000;-50403000;;-50403000;-66118000
ARRY;6744551;USD;2022;FY;2022-12-31;2023-03-22;2024-02-28;149819000;149819000;1637546000;-1409791709;226862542;-249970140;-150777000;;-84581000;-22640000;-29569000;-33513000;-4956164;47257000;-4952000;9384000;4432000;;4432000;-43622000
ARTE;11819297;USD;2021;FY;2021-12-31;2022-01-28;2023-03-31;9484202;9484202;;;;-282666;-282666;;;-282666;9883;9883;-272783;584901;312118;;312118;;312118;312118
ARTE;11819297;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;25156250;25156250;;;;-6469453;-6469453;;;-6469453;3070568;3070568;-3398885;7470394;4071509;-591919;3479590;;3479590;3479590
ARTNA;7962788;USD;2018;FY;2018-12-31;2019-03-15;2021-03-12;9239000;9293000;80411000;-41209000;39202000;-15256000;;;-10288000;23946000;-5299000;-6252000;18647000;622000;19269000;-4991000;14278000;;14278000;14278000
ARTNA;7962788;USD;2019;FY;2019-12-31;2020-03-13;2022-03-11;9277000;9326000;83595000;-42504000;41091000;-15985000;;;-10803000;25106000;-6410000;-7024000;20152238;1410000;20106000;-5181000;14925000;;14925000;14925000
ARTNA;7962788;USD;2020;FY;2020-12-31;2021-03-12;2023-03-10;9327000;9369000;88141000;-43615000;44526000;-16547000;;;-11143000;27979000;-6648000;-7619000;22502768;1170000;22501000;-5684000;16817000;;16817000;16817000
ARTNA;7962788;USD;2021;FY;2021-12-31;2022-03-11;2024-03-18;9394000;9426000;90859000;-45356000;45503000;-17472000;;;-11885000;28031000;-6290000;-7592000;21741000;823000;22564000;-5737000;16827000;;16827000;16827000
ARTNA;7962788;USD;2022;FY;2022-12-31;2023-03-10;2024-03-18;9462000;9481000;98897000;-50622000;48275000;-18491000;;;-12620000;29784000;-7237000;-8502000;23843418;1329000;23876000;-5878000;17998000;;17998000;17998000
ARTX;739639;USD;2018;FY;2018-12-31;2019-03-07;2019-03-07;26471507;26471507;96599741;-67402263;29197478;-25802852;-21094940;-3030469;-1677443;3394626;-39077;;3355549;-921953;2433596;-563641;1869955;0;1869955;1869955
ARVN;947146;USD;2018;FY;2018-12-31;2019-03-26;2021-03-01;9422799;9422799;14323920;;;-58125998;-12932168;-45193830;;-43802078;2321612;2412661;-41480466;;-41480466;;-41480466;;-41480466;-239847222
ARVN;947146;USD;2019;FY;2019-12-31;2020-03-16;2022-02-28;32927697;32927697;43000000;;;-94500000;-27300000;-67200000;;-51500000;5900000;4500000;-70176482;-24700000;-70300000;;-70300000;;-70300000;-70300000
ARVN;947146;USD;2020;FY;2020-12-31;2021-03-01;2023-02-23;39534497;39534497;21837285;;;-146700000;-38300000;-108400000;;-124827906;5600000;3500000;-119427316;;-115200000;;-119300000;;-119300000;-119300000
ARVN;947146;USD;2021;FY;2021-12-31;2022-02-28;2024-02-27;49807508;49807508;46686250;;;-242000000;-61600000;-180400000;;-195475210;4300000;1800000;-191290448;;-184100000;;-191000000;;-191000000;-191000000
ARVN;947146;USD;2022;FY;2022-12-31;2023-02-23;2024-02-27;53200000;53200000;131400000;;;-394600000;-79600000;-315000000;;-263200000;12200000;12000000;-251000000;;-251000000;-20900000;-282500000;;-282500000;-282500000
ARW;445806;USD;2018;FY;2018-12-31;2019-02-07;2021-02-11;87476000;88444000;29676768000;-25975856000;3700912000;-2498968542;-2310122840;;-186384000;1211477000;-217103000;-214771000;910821310;-85001000;909373000;-187799000;721574000;;716195000;716195000
ARW;445806;USD;2019;FY;2019-12-31;2020-02-13;2022-02-11;83568000;83568000;28916847000;-25618466000;3298381000;-2408223789;-2220219914;;-189790000;916979000;-206508000;-203743000;-111877257;-822301000;-111830000;-88338000;-200168000;;-204087000;-204087000
ARW;445806;USD;2020;FY;2020-12-31;2021-02-11;2023-02-09;77992000;78635000;28673363000;-25482233000;3191130000;-2276108000;-2087050000;;-189058000;915022000;-140600000;-137210000;774422000;-15163000;759259000;-172795000;586464000;;584438000;584438000
ARW;445806;USD;2021;FY;2021-12-31;2022-02-11;2024-02-13;71671000;72571000;34477018000;-30274653000;4202365000;-2640258959;-2436692093;;-195120000;1572215000;-133399000;-131727000;1438816000;-2442000;1436374000;-325906000;1110468000;;1108197000;1108197000
ARW;445806;USD;2022;FY;2022-12-31;2023-02-09;2024-02-13;64838000;65453000;37124422000;-32287797000;4836625000;-2755214152;-2573710729;;-187382000;2082235000;-181487000;-185648000;1900748000;-16598000;1884150000;-448992000;1435158000;;1426884000;1426884000
ARWR;952053;USD;2018;FY;2018-09-30;2018-12-11;2020-11-23;83638469;83638469;16142321;;;-72078556;-19110051;-52968505;;-55936235;1056016;1047425;-54351321;432141;-54448078;-2400;-54450478;;-54450478;-54450478
ARWR;952053;USD;2019;FY;2019-09-30;2019-11-25;2021-11-22;93858857;98607815;168796000;;;-107605000;-26556000;-81049000;;61191000;6958000;6945590;68149000;;68149000;-174000;67975000;;67975000;67975000
ARWR;952053;USD;2020;FY;2020-09-30;2020-11-23;2022-11-28;100722224;100722224;87992000;;;-181151000;-52276000;-128875000;;-93159000;8608000;9191000;-84551000;;-84551000;-2000;-84553000;;-84553000;-84553000
ARWR;952053;USD;2021;FY;2021-09-30;2021-11-22;2023-11-29;104099000;104099000;138287000;;;-287323000;-80981000;-206342000;;-149036000;8190000;6120000;-140846000;;-140846000;-2000;-140848000;;-140848000;-140848000
ARWR;952053;USD;2022;FY;2022-09-30;2022-11-28;2023-11-29;105426000;105426000;243231000;;;-421738000;-122763831;-297307000;;-178507000;5798000;5033000;-172709000;;-172709000;-3785000;-176494000;;-176063000;-176063000
ASAN;1070494;USD;2019;FY;2020-01-31;2020-03-29;2022-03-24;70335000;70335000;142606000;-19881000;122725000;-242356000;-152681000;-89675000;;-119631000;1287000;1679636;-118344000;;-118344000;-245000;-118589000;;-118589000;-118313259
ASAN;1070494;USD;2020;FY;2021-01-31;2021-03-30;2023-03-24;106344000;106344000;227004000;-28741000;198263000;-373830000;-252691000;-121139000;;-175567000;-34610000;-34683701;-210177000;;-210177000;-1533000;-211710000;;-211710000;-211710000
ASAN;1070494;USD;2021;FY;2022-01-31;2022-03-24;2024-03-14;185022000;185022000;378437000;-38897000;339540000;-604724000;-401600000;-203124000;;-265184000;-19921000;-17850277;-285105000;;-285105000;-3237000;-288342000;;-288342000;-288342000
ASAN;1070494;USD;2022;FY;2023-01-31;2023-03-24;2024-03-14;200034000;200034000;547212000;-56559000;490653000;-898479000;-601270000;-297209000;;-407826000;4933000;5919289;-402893000;;-402893000;-4875000;-407768000;;-407768000;-407768000
ASC;7962762;USD;2018;FY;2018-12-31;2019-02-15;2021-03-05;32837866;32837866;210179181;-133510106;76856467;-86628504;-15842599;;-35137880;-9616322;-26798943;-24592064;-42717707;-6360813;-42776078;-162923;-42939001;;-42939001;-42939001
ASC;7962762;USD;2019;FY;2019-12-31;2020-04-03;2022-03-11;33097831;33097831;230042240;-128676039;101467048;-85398448;-18029831;;-32322695;16167265;-25807564;-25478740;-22751419;-13162192;-22802491;-58766;-22861257;;-22861257;-22861257
ASC;7962762;USD;2020;FY;2020-12-31;2021-03-05;2023-03-24;33241936;33241936;220058000;-114979478;105339695;-86730427;-17944576;;-32187000;18600000;-17886000;-17886000;-5857042;-6561000;-5847000;-199000;-6046000;;-6046000;-6046000
ASC;7962762;USD;2021;FY;2021-12-31;2022-03-11;2024-03-15;33882932;33882932;192484000;-127192153;65176240;-85300616;-19214850;;-31702000;-19925000;-16147000;-16719152;-36397759;-293000;-36365000;-150000;-36832000;;-36832000;-38086000
ASC;7962762;USD;2022;FY;2022-12-31;2023-03-24;2024-03-15;37235599;38359985;445741000;-189862014;255253632;-96325723;-24070702;;-29276000;159454000;-15066000;-15066000;144388000;-5532000;138856000;-207000;138454000;;138454000;135054000
ASCMA;707350;USD;2018;FY;2018-12-31;2019-04-01;2019-04-01;12346804;12346804;540358000;-128939000;411419000;-353733000;-130637000;;-223096000;57686000;-187285000;-188763000;-129599000;-580056000;-709655000;11611000;-698044000;;-698044000;-698044000
ASFH;15394172;USD;2021;FY;2021-12-31;2022-02-16;2023-02-16;73319800;73319800;87;;;-378235;-378235;;;-378148;;;-378148;;-378148;643;-377505;;-377505;-377505
ASFH;15394172;USD;2022;FY;2022-12-31;2023-02-16;2024-03-22;73319800;73319800;;;;-122283;-122283;;;-122283;14080;;-108203;;-108203;-3999;-112202;;-112202;-112202
ASGN;1059907;USD;2018;FY;2018-12-31;2019-03-01;2021-03-01;52333000;53100000;3399800000;-2376100000;1023700000;-763500000;-705000000;;-58500000;260200000;-56000000;-56000000;204200000;;204200000;-46200000;158000000;-300000;157700000;157700000
ASGN;1059907;USD;2019;FY;2019-12-31;2020-03-02;2022-03-01;52800000;53400000;3924438509;-2796957596;1128354167;-822659986;-771947247;;-50300000;308889093;-52900000;-52900000;236536797;-18900000;204400000;-61894030;175173815;25000000;174700000;174700000
ASGN;1059907;USD;2020;FY;2020-12-31;2021-03-01;2023-02-27;52700000;53300000;3951218239;-2856372529;1091199278;-779453412;-728364673;;-51000000;311144016;-39700000;-39700000;270779448;;241500000;-70388577;200131503;22700000;200300000;200300000
ASGN;1059907;USD;2021;FY;2021-12-31;2022-03-01;2024-02-23;52700000;53400000;4009500000;-2867100000;1142400000;-791500000;-735800000;;-55700000;350900000;-37500000;-37500000;313400000;;313400000;-81600000;231800000;178100000;409900000;409900000
ASGN;1059907;USD;2022;FY;2022-12-31;2023-02-27;2024-02-23;52700000;53300000;4581100000;-3211500000;1369600000;-960100000;-895000000;;-65100000;409500000;-45900000;-45900000;363600000;;363600000;-96700000;266900000;1200000;268100000;268100000
ASH;136913;USD;2018;FY;2018-09-30;2018-11-19;2020-11-23;63000000;64000000;3734397317;-2662959517;1074204221;-854715766;-770796250;-73000000;-93000000;218526997;-83000000;-135843865;114255128;-4000000;11000000;-9002120;105096163;95000000;114000000;114000000
ASH;136913;USD;2019;FY;2019-09-30;2019-11-25;2021-11-22;62000000;63000000;2493935017;-1724815844;767108835;-601439784;-537684633;-58000000;-85000000;165809735;-89000000;-116209952;70086889;-2000000;-9000000;-46112810;24016389;544000000;505000000;505000000
ASH;136913;USD;2020;FY;2020-09-30;2020-11-23;2022-11-21;61000000;61000000;2320195320;-1620716852;705900428;-564857931;-424027605;-56000000;-84000000;141899499;-116000000;-148790415;-501960972;-528000000;-577000000;12021599;-491110660;47000000;-508000000;-508000000
ASH;136913;USD;2021;FY;2021-09-30;2021-11-22;2023-11-17;57000000;61000000;2111000000;-1441000000;670000000;-497828242;-358000000;-50000000;-90000000;171832755;-56000000;-72004241;135224964;12000000;137000000;38000000;175000000;47000000;222000000;222000000
ASH;136913;USD;2022;FY;2022-09-30;2022-11-21;2023-11-17;57000000;61000000;2391000000;-1561000000;830000000;-540896449;-393000000;-55000000;-94000000;285000000;-149000000;-61896654;206375979;20000000;156000000;-24938539;181000000;746000000;927000000;927000000
ASIX;6767781;USD;2018;FY;2018-12-31;2019-02-22;2021-02-19;30172050;30978291;1514984000;-1340497000;174487000;-81227000;-81224000;;;93260000;-7492000;-7492000;85768000;;85768000;-19524000;66244000;;66244000;66244000
ASIX;6767781;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;28122288;28898836;1297393000;-1161921000;135472000;-75506521;-75375000;;;58802000;-5454000;-5454000;53348000;;53348000;-12001000;41347000;;41347000;41347000
ASIX;6767781;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;28048726;28157062;1157917000;-1024169000;133748000;-70923000;-70870000;;;62825000;-7792000;-7792000;55033000;;55033000;-8956000;46077000;;46077000;46077000
ASIX;6767781;USD;2021;FY;2021-12-31;2022-02-18;2024-02-16;28152876;29045186;1684625000;-1410503000;274122000;-82985000;-82985000;;;191137000;-6021000;-5023000;185116000;;185116000;-45325000;139791000;;139791000;139791000
ASIX;6767781;USD;2022;FY;2022-12-31;2023-02-17;2024-02-16;27969436;29031107;1945640000;-1631161000;314479000;-87748000;-87748000;;;226731000;-940000;-2781000;225791000;;225791000;-53905000;171886000;;171886000;171886000
ASLE;11795208;USD;2018;FY;2018-12-31;2019-03-03;2021-03-16;37010;37010;290824263;-218255269;72036617;-46575647;-46595311;;;25564266;-2007075000;-2376008;23536257;-51360000;23498388000;3234115;26789513;21260340000;8843832;-24717634
ASLE;11795208;USD;2019;FY;2019-12-31;2020-03-02;2022-03-15;37010;37010;304201000;-219152000;85049000;-59814000;-59814000;;;25235000;-2395000;-3006000;19630702;-3177000;19663000;-4164000;15499000;;15499000;-19134000
ASLE;11795208;USD;2020;FY;2020-12-31;2021-03-16;2023-03-07;41046216;41046216;208938000;-156149000;52789000;-42942000;-55635000;;;9847000;-1151000;-1645000;10157106;1048000;9744000;-1650000;8094000;;8094000;8094000
ASLE;11795208;USD;2021;FY;2021-12-31;2022-03-15;2024-03-08;43193995;47310100;340437000;-221045000;119392000;-62730000;-77498000;;;56662000;-522000;-980000;47869626;-8366000;47774000;-11659000;36115000;;36115000;36115000
ASLE;11795208;USD;2022;FY;2022-12-31;2023-03-07;2024-03-08;42994048;47519737;408544000;-257150000;151394000;-96348000;-96348000;;;55046000;3361000;1093000;58407000;-525000;57882000;-14021000;43861000;;43861000;43861000
ASMB;9076097;USD;2018;FY;2018-12-31;2019-02-28;2021-02-25;1899377;1899377;14804000;;;-107539000;-34798000;-72741000;;-92735000;3083000;3083000;-89652000;;-89652000;-1099000;-90751000;;-90751000;-90751000
ASMB;9076097;USD;2019;FY;2019-12-31;2020-03-04;2021-02-25;2187357;2187357;15963000;;;-118676000;-32919000;-85757000;;-102713000;4305000;4305000;-98408000;;-98408000;774000;-97634000;;-97634000;-97634000
ASMB;9076097;USD;2020;FY;2020-12-31;2021-02-25;2022-03-11;2951079;2951079;79105000;;;-143881000;-37058000;-106823000;;-64776000;2624000;2620304;-62152000;;-62152000;;-62152000;;-62152000;-62152000
ASMB;9076097;USD;2021;FY;2021-12-31;2022-03-11;2023-03-22;3605256;3605256;6254000;;;-97304000;-28780000;-68524000;;-91050000;302000;302476;-132547772;-41638000;-132386000;2531000;-129855000;;-129855000;-129855000
ASMB;9076097;USD;2022;FY;2022-12-31;2023-03-22;2024-03-28;4032492;4032492;;;;-94114000;-24134000;-69980000;;-94114000;1022000;1023365;-93092000;;-93092000;;-93092000;;-93092000;-93092000
ASNA;35533;USD;2019;FY;2019-07-31;2019-10-10;2020-12-11;9875000;9875000;4734700000;-2088000000;2646700000;-1826200000;-1545800000;;-280400000;820500000;-103200000;-103200000;717300000;-1470600000;-753300000;23900000;-729400000;68000000;-661400000;-661400000
ASNA;35533;USD;2020;FY;2020-07-31;2020-12-11;2020-12-11;9994000;9994000;3718100000;-1836200000;1881900000;-1653800000;-1421100000;;-232700000;228100000;-107000000;-107000000;121100000;-1313499999;-1192399999;-13700000;-1206099999;64300000;-1141799999;-1141799999
ASO;1271540;USD;2019;FY;2020-01-31;2020-04-06;2022-03-29;72474000;72474000;4829897000;-3398743000;1431154000;-1251733000;-1251733000;;;179421000;-98826000;-101307000;122948608;42265000;122860000;-2817000;120043000;;120043000;89850030
ASO;1271540;USD;2020;FY;2021-01-31;2021-04-07;2023-03-16;92088000;96472000;5689233000;-3955188000;1734045000;-1313647000;-1313647000;;;420398000;-84860000;-86514000;335538000;3582000;339120000;-30356000;308764000;;308764000;308764000
ASO;1271540;USD;2021;FY;2022-01-31;2022-03-29;2024-03-21;77994000;81431000;6773128000;-4422033000;2351095000;-1443148000;-1443148000;;;907947000;-46168000;-48989000;861779000;-2239000;859540000;-188159000;671381000;;671381000;671381000
